"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.887","11.305","11.509","9.983","8.743","8.711","8.584","7.948","7.039","6.459","6.982","6.535","5.891","5.283","4.882","4.669","4.042","3.96","5.694","5.075","4.896","5.138","5.706","5.997","6.039","5.651","5.525","5.299","5.183","6.439","5.162","3.779","3.755","4.046","4.128",
"Austria","AUT","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.334","3.461","4.07","3.21","3.926","5.34","5.058","5.412","4.654","4.761","3.913","5.11","5.132","5.786","5.505","5.045","4.55","3.982","5.581","5.06","4.634","4.981","5.403","5.89","6.179","6.476","5.969","5.11","4.679","5.364","6.508","5.163","5.476","5.623","5.943",
"Azerbaijan","AZE","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.831","1.663","4.156","5.815","6.642","7.469","8.387","9.212","10.038","10.85","10.308","9.703","9.069","7.939","7.235","6.898","7.108","6.163","4.912","4.329","4.385","4.29","4.004","3.988","4.058","4.106","4.094","4.056","4.26","6.092","5.119","4.789","4.781","4.788","4.653",
"Burundi","BDI","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.013","3.991","3.946","3.963","3.945","3.946","3.987","4.03","3.999","4.003","4.023","4.041","4.007","4.045","4.02","4.046","3.094","2.156","2.132","2.115","2.09","2.069","2.048","2.024","1.822","1.655","1.483","1.31","1.135","1.086","1.202","1.012","1.016","1.02","1.041",
"Belgium","BEL","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.554","4.799","6.166","7.697","7.311","7.405","7.088","7.582","7.472","5.306","5.63","6.244","7.441","6.648","7.597","7.396","6.663","6.468","7.746","8.108","7.106","7.652","8.639","9.02","9.093","8.06","7.123","6.27","5.733","5.713","6.608","5.847","5.977","6.072","6.147",
"Benin","BEN","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.356","2.167","2.145","2.088","1.87","1.782","1.565","1.483","1.332","1.199","1.045","0.923","0.949","0.954","0.989","0.972","0.938","0.882","0.892","0.936","2.429","2.511","2.491","2.158","2.039","1.932","1.717","1.371","1.091","1.566","2.021","1.881","1.828","1.824","1.79",
"Burkina Faso","BFA","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.346","2.384","2.305","2.46","2.409","2.319","2.282","2.307","2.378","2.47","2.491","2.563","2.45","3.032","3.438","3.12","2.775","3.022","3.291","3.354","3.51","3.586","3.843","4.098","4.371","4.553","4.668","4.749","4.399","4.428","4.17","3.283","2.911","2.592","2.798",
"Bangladesh","BGD","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.231","2.278","2.372","2.449","2.538","2.625","2.782","2.945","3.105","3.251","3.54","3.848","4.153","3.772","3.333","2.646","3.084","3.566","4.083","2.945","3.014","3.067","3.144","3.131","3.11","3.067","3.289","3.528","3.776","5.066","5.183","4.423","3.415","3.733","3.832",
"Bulgaria","BGR","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.249","15.505","16.62","12.971","11.248","12.667","13.883","12.566","14.054","16.562","20.861","18.774","14.2","12.398","10.296","8.647","6.52","5.48","6.984","10.858","12.263","13.522","13.899","12.31","9.777","8.097","6.354","5.69","4.453","5.35","5.38","4.34","4.409","4.436","3.753",
