"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.164","9.935","10.004","9.37","8.111","8.24","8.079","7.336","6.662","6.07","6.451","6.173","5.984","5.544","5.225","4.926","4.793","4.583","5.41","5.381","5.308","5.328","5.611","6.174","6.074","5.781","5.669","5.397","5.098","6.343","4.865","3.672","3.572","3.827","4.05",
"Austria","AUT","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.544","3.771","4.5","3.966","4.892","5.207","5.269","5.574","4.757","4.591","4.127","4.53","4.338","6.191","5.895","5.648","5.335","4.452","5.126","4.679","4.64","4.827","5.326","5.429","5.372","5.594","5.096","4.73","4.423","5.015","6.403","4.797","5.025","4.719","5.172",
"Azerbaijan","AZE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.971","1.943","4.855","6.794","7.76","8.727","9.801","10.767","11.734","12.683","11.494","10.362","9.269","8.039","7.285","6.347","5.514","5.551","6.542","6.814","6.385","6.048","5.897","5.794","5.824","5.865","5.892","5.738","5.739","8.388","6.957","6.511","6.5","6.511","6.265",
"Burundi","BDI","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.342","2.331","2.308","2.317","2.308","2.308","2.329","2.351","2.335","2.337","2.347","2.356","2.339","2.357","2.344","2.357","1.745","1.14","1.141","1.146","1.147","1.15","1.152","1.153","1.102","1.067","1.031","0.994","0.957","0.976","1.041","0.811","0.814","0.816","0.811",
"Belgium","BEL","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.658","9.51","10.826","12.434","12.21","12.411","11.533","11.701","10.214","8.278","6.922","7.798","7.996","8.279","9.506","9.309","8.444","7.597","8.106","8.516","7.18","7.41","8.17","7.941","7.768","7.561","7.052","5.561","4.94","5.351","5.836","5.256","5.057","5.276","5.631",
"Benin","BEN","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.62","0.578","0.586","0.587","0.551","0.546","0.508","0.505","0.483","0.466","0.441","0.427","0.52","0.608","0.717","0.797","0.864","0.909","1.01","1.148","2.872","2.404","1.898","1.743","1.731","1.735","1.665","1.481","1.338","1.469","1.64","1.483","1.448","1.446","1.383",
"Burkina Faso","BFA","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.591","2.628","2.55","2.703","2.659","2.577","2.545","2.577","2.732","2.912","3.017","3.178","3.129","3.957","4.603","4.262","3.866","4.018","4.189","4.126","4.171","4.134","4.283","4.426","4.582","4.648","4.656","4.636","4.597","4.771","4.903","4.467","4.403","4.416","4.257",
"Bangladesh","BGD","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.082","2.067","2.085","2.092","2.107","2.122","2.421","2.727","3.033","3.331","3.822","4.327","4.83","5.958","6.994","6.396","6.587","6.865","7.194","4.345","5.369","6.368","7.403","7.37","7.322","7.235","6.628","6.261","5.91","6.423","5.951","4.888","3.238","3.445","3.673",
"Bulgaria","BGR","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.924","15.057","16.14","12.598","10.925","12.304","13.484","11.768","14.154","15.813","18.858","17.359","13.192","11.622","9.834","9.3","7.29","5.759","6.622","9.607","10.107","10.84","11.843","10.402","8.417","6.966","5.946","4.653","3.793","4.672","4.918","3.929","4.217","3.932","3.288",
