"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.476","19.272","18.536","16.872","15.196","15.641","15.839","14.458","13.111","12.084","13.476","12.794","11.962","11.366","10.619","10.026","9.36","8.814","11.461","11.548","11.37","11.728","12.22","13.311","13.11","12.642","12.592","11.935","11.452","14.142","11.134","8.468","8.388","9.408","9.61",
"Austria","AUT","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.715","4.13","4.661","4.958","5.909","6.842","7.554","7.486","5.921","6.285","6.001","7.137","7.429","10.991","11.178","10.046","9.596","8.72","10.896","9.673","9.173","9.561","9.767","10.508","10.91","11.424","9.971","9.572","8.767","10.325","12.023","10.327","10.98","10.428","10.998",
"Azerbaijan","AZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.716","3.388","8.367","11.617","13.233","14.929","16.85","18.645","20.386","22.121","22.102","21.604","18.959","18.243","15.332","14.691","13.45","13.74","13.685","14.64","14.52","13.974","13.478","13.415","13.363","12.925","12.389","11.637","11.475","15.129","14.675","13.616","13.581","13.544","13.091",
"Burundi","BDI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.893","3.882","3.851","3.855","3.848","3.844","3.86","3.88","3.856","3.853","3.862","3.871","3.854","3.88","3.874","3.897","3.035","2.133","2.206","2.3","2.405","2.539","2.71","2.927","2.681","2.456","2.225","1.993","1.754","1.69","1.772","1.705","1.7","1.695","1.678",
"Belgium","BEL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.958","13.204","18.431","21.866","21.539","20.495","21.278","20.394","22.58","15.249","15.332","15.652","18.982","17.502","21.482","20.511","18.841","17.97","21.94","22.391","18.724","19.738","23.689","23.225","22.125","20.108","19.236","15.748","14.236","15.326","18.206","16.41","16.119","17.343","17.777",
"Benin","BEN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.746","1.685","1.632","1.566","1.449","1.374","1.256","1.185","1.091","1.003","0.909","0.826","0.984","1.135","1.308","1.457","1.596","1.715","1.902","2.138","5.448","4.725","3.956","3.608","3.418","3.237","2.981","2.621","2.302","2.96","3.242","3.13","3.09","3.089","2.887",
"Burkina Faso","BFA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.85","3.889","3.792","3.964","3.925","3.837","3.808","3.856","4.001","4.173","4.261","4.414","4.339","5.42","6.295","5.776","5.205","5.513","5.845","5.921","6.114","6.21","6.525","6.835","7.162","7.383","7.53","7.638","7.432","7.978","7.642","6.722","6.569","6.525","6.438",
"Bangladesh","BGD","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.036","6.109","6.268","6.385","6.52","6.653","7.407","8.184","8.968","9.744","8.821","7.782","6.606","7.758","8.79","7.255","8.022","8.795","9.557","6.289","7.429","8.538","9.674","10.122","10.561","10.956","12.101","11.907","11.742","13.473","12.72","10.985","7.905","9.097","9.385",
"Bulgaria","BGR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.616","30.991","33.232","26.029","22.671","25.644","27.847","24.941","28.503","33.208","39.087","35.608","27.057","24.497","22.391","19.578","15.183","12.804","16.263","21.95","25.056","28.11","28.374","23.774","21.653","17.224","12.927","12.676","8.777","14.143","15.701","10.582","12.049","12.493","10.152",
"Bahrain","BHR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.991","3.847","3.515","3.841","3.892","4.111","4.053","4.083","4.158","4.211","4.265","4.162","4.044","3.905","3.836","3.93","4.062","4.309","4.688","4.953","5.283","5.425","5.439","5.398","5.427","5.527","5.593","5.633","5.657","6.389","6.043","5.33","5.381","5.469","5.416",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.043","27.432","23.451","25.596","21.302","24.554","23.003","16.099","15.852","15.456","15.203","20.375","24.652","21.751","20.264","16.4","18.918","17.015","26","26.552","27.004","30.359","34.465","28.993","24.781","25.844","21.547","24.16","19.235","23.943","21.768","18.694","17.696","18.291","19.248",
"Bosnia and Herzegovina","BIH","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.865","36.906","39.013","40.625","41.982","43.142","44.719","46.43","48.298","50.405","52.604","54.884","57.108","59.288","61.65","63.982","60.099","48.838","50.142","59.665","59.568","65.019","60.919","64.598","65.239","56.261","47.925","40.535","35.263","37.924","35.816","31.728","27.27","27.334","28.201",
